Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-09-29,Pittsburgh Steelers,Indianapolis Colts,1,12:01,Indianapolis Colts,Jonathan Taylor 2 yard rush (Matt Gay kick),0,7
2024-09-29,Pittsburgh Steelers,Indianapolis Colts,1,2:34,Indianapolis Colts,Josh Downs 4 yard pass from Joe Flacco (Matt Gay kick),0,14
2024-09-29,Pittsburgh Steelers,Indianapolis Colts,2,12:31,Indianapolis Colts,Matt Gay 33 yard field goal,0,17
2024-09-29,Pittsburgh Steelers,Indianapolis Colts,2,0:00,Pittsburgh Steelers,Chris Boswell 50 yard field goal,3,17
2024-09-29,Pittsburgh Steelers,Indianapolis Colts,3,2:53,Pittsburgh Steelers,Justin Fields 5 yard rush (Chris Boswell kick),10,17
2024-09-29,Pittsburgh Steelers,Indianapolis Colts,4,14:43,Indianapolis Colts,Andrew Ogletree 15 yard pass from Joe Flacco (Matt Gay kick),10,24
2024-09-29,Pittsburgh Steelers,Indianapolis Colts,4,11:23,Pittsburgh Steelers,Justin Fields 2 yard rush (Chris Boswell kick),17,24
2024-09-29,Pittsburgh Steelers,Indianapolis Colts,4,6:03,Indianapolis Colts,Matt Gay 35 yard field goal,17,27
2024-09-29,Pittsburgh Steelers,Indianapolis Colts,4,3:40,Pittsburgh Steelers,Pat Freiermuth 8 yard pass from Justin Fields (Chris Boswell kick),24,27
