Date,Away Team,Home Team,Player,Player Team,Extra Points Made,Extra Points Missed,Field Goals Made,Field Goals Missed
2024-10-14,Buffalo Bills,New York Jets,Tyler Bass,Buffalo Bills,2,1,1,1
2024-10-14,Buffalo Bills,New York Jets,Sam Martin,Buffalo Bills,0,0,0,0
2024-10-14,Buffalo Bills,New York Jets,Greg Zuerlein,New York Jets,2,0,2,2
2024-10-14,Buffalo Bills,New York Jets,Thomas Morstead,New York Jets,0,0,0,0
