Date,Away Team,Home Team,Defense Team,Ints,Sacks,Fumbles,Def TDs,Points Allowed
2024-11-03,Indianapolis Colts,Minnesota Vikings,Indianapolis Colts,2,4.0,1,1,21
2024-11-03,Indianapolis Colts,Minnesota Vikings,Minnesota Vikings,1,3.0,1,0,13
