Date,Away Team,Home Team,Player,Player Team,Extra Points Made,Extra Points Missed,Field Goals Made,Field Goals Missed
2024-10-27,Baltimore Ravens,Cleveland Browns,Justin Tucker,Baltimore Ravens,3,0,1,1
2024-10-27,Baltimore Ravens,Cleveland Browns,Jordan Stout,Baltimore Ravens,0,0,0,0
2024-10-27,Baltimore Ravens,Cleveland Browns,Dustin Hopkins,Cleveland Browns,2,0,3,0
2024-10-27,Baltimore Ravens,Cleveland Browns,Corey Bojorquez,Cleveland Browns,0,0,0,0
