Date,Away Team,Home Team,Player,Player Team,Kick Return TD,Punt Return TD
2024-10-24,Minnesota Vikings,Los Angeles Rams,Brandon Powell,Minnesota Vikings,0,0
2024-10-24,Minnesota Vikings,Los Angeles Rams,Xavier Smith,Los Angeles Rams,0,0
