Date,Away Team,Home Team,Defense Team,Ints,Sacks,Fumbles,Def TDs,Points Allowed
2024-11-24,Arizona Cardinals,Seattle Seahawks,Arizona Cardinals,1,5.0,0,0,16
2024-11-24,Arizona Cardinals,Seattle Seahawks,Seattle Seahawks,1,5.0,1,1,6
