Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-11-03,New Orleans Saints,Carolina Panthers,1,10:51,New Orleans Saints,Blake Grupe 29 yard field goal,3,0
2024-11-03,New Orleans Saints,Carolina Panthers,1,3:08,New Orleans Saints,Blake Grupe 33 yard field goal,6,0
2024-11-03,New Orleans Saints,Carolina Panthers,2,9:59,Carolina Panthers,Xavier Legette 3 yard pass from Bryce Young (Eddy Piñeiro kick),6,7
2024-11-03,New Orleans Saints,Carolina Panthers,2,4:13,New Orleans Saints,Taysom Hill 7 yard rush (Blake Grupe kick),13,7
2024-11-03,New Orleans Saints,Carolina Panthers,2,0:38,Carolina Panthers,Eddy Piñeiro 48 yard field goal,13,10
2024-11-03,New Orleans Saints,Carolina Panthers,3,9:55,Carolina Panthers,Chuba Hubbard 1 yard rush (Eddy Piñeiro kick),13,17
2024-11-03,New Orleans Saints,Carolina Panthers,3,4:15,New Orleans Saints,Blake Grupe 51 yard field goal,16,17
2024-11-03,New Orleans Saints,Carolina Panthers,4,11:55,New Orleans Saints,Foster Moreau 17 yard pass from Derek Carr (pass failed),22,17
2024-11-03,New Orleans Saints,Carolina Panthers,4,2:18,Carolina Panthers,Chuba Hubbard 16 yard rush (pass failed),22,23
