Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-09-15,New York Jets,Tennessee Titans,1,2:30,Tennessee Titans,Calvin Ridley 10 yard rush (Nick Folk kick),0,7
2024-09-15,New York Jets,Tennessee Titans,2,1:47,New York Jets,Braelon Allen 12 yard pass from Aaron Rodgers (Greg Zuerlein kick),7,7
2024-09-15,New York Jets,Tennessee Titans,2,0:00,Tennessee Titans,Nick Folk 41 yard field goal,7,10
2024-09-15,New York Jets,Tennessee Titans,3,12:08,New York Jets,Breece Hall 26 yard pass from Aaron Rodgers (Greg Zuerlein kick),14,10
2024-09-15,New York Jets,Tennessee Titans,3,5:58,New York Jets,Greg Zuerlein 33 yard field goal,17,10
2024-09-15,New York Jets,Tennessee Titans,3,3:22,Tennessee Titans,Calvin Ridley 40 yard pass from Will Levis (Nick Folk kick),17,17
2024-09-15,New York Jets,Tennessee Titans,4,4:31,New York Jets,Braelon Allen 20 yard rush (Greg Zuerlein kick),24,17
