Date,Away Team,Home Team,Defense Team,Ints,Sacks,Fumbles,Def TDs,Points Allowed
2024-11-24,Dallas Cowboys,Washington Commanders,Dallas Cowboys,2,4.0,3,0,26
2024-11-24,Dallas Cowboys,Washington Commanders,Washington Commanders,0,1.0,2,0,34
