Date,Away Team,Home Team,Player,Player Team,Kick Return TD,Punt Return TD
2024-10-27,Philadelphia Eagles,Cincinnati Bengals,Kenneth Gainwell,Philadelphia Eagles,0,0
2024-10-27,Philadelphia Eagles,Cincinnati Bengals,Charlie Jones,Cincinnati Bengals,0,0
