Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-10-20,New York Jets,Pittsburgh Steelers,1,11:33,Pittsburgh Steelers,Chris Boswell 46 yard field goal,0,3
2024-10-20,New York Jets,Pittsburgh Steelers,1,2:27,New York Jets,Breece Hall 13 yard rush (Greg Zuerlein kick),7,3
2024-10-20,New York Jets,Pittsburgh Steelers,2,8:20,Pittsburgh Steelers,Chris Boswell 29 yard field goal,7,6
2024-10-20,New York Jets,Pittsburgh Steelers,2,5:29,New York Jets,Tyler Conklin 1 yard pass from Aaron Rodgers (Garrett Wilson pass from Aaron Rodgers),15,6
2024-10-20,New York Jets,Pittsburgh Steelers,2,0:27,Pittsburgh Steelers,George Pickens 11 yard pass from Russell Wilson (Chris Boswell kick),15,13
2024-10-20,New York Jets,Pittsburgh Steelers,3,7:49,Pittsburgh Steelers,Chris Boswell 21 yard field goal,15,16
2024-10-20,New York Jets,Pittsburgh Steelers,3,7:15,Pittsburgh Steelers,Russell Wilson 1 yard rush (Chris Boswell kick),15,23
2024-10-20,New York Jets,Pittsburgh Steelers,4,12:09,Pittsburgh Steelers,Van Jefferson 4 yard pass from Russell Wilson (Chris Boswell kick),15,30
2024-10-20,New York Jets,Pittsburgh Steelers,4,0:26,Pittsburgh Steelers,Najee Harris 10 yard rush (Chris Boswell kick),15,37
