Date,Away Team,Home Team,Defense Team,Ints,Sacks,Fumbles,Def TDs,Points Allowed
2024-11-17,Atlanta Falcons,Denver Broncos,Atlanta Falcons,0,1.0,1,0,38
2024-11-17,Atlanta Falcons,Denver Broncos,Denver Broncos,1,4.0,1,0,6
