Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-09-29,Washington Commanders,Arizona Cardinals,1,9:54,Arizona Cardinals,Marvin Harrison Jr. 2 yard pass from Kyler Murray (Matt Prater kick),0,7
2024-09-29,Washington Commanders,Arizona Cardinals,1,5:13,Washington Commanders,Brian Robinson Jr. 6 yard rush (Austin Seibert kick),7,7
2024-09-29,Washington Commanders,Arizona Cardinals,2,10:18,Washington Commanders,Jeremy McNichols 27 yard rush (Austin Seibert kick),14,7
2024-09-29,Washington Commanders,Arizona Cardinals,2,0:00,Washington Commanders,Austin Seibert 45 yard field goal,17,7
2024-09-29,Washington Commanders,Arizona Cardinals,3,13:52,Washington Commanders,Jayden Daniels 9 yard rush (Austin Seibert kick),24,7
2024-09-29,Washington Commanders,Arizona Cardinals,3,5:16,Washington Commanders,Austin Seibert 38 yard field goal,27,7
2024-09-29,Washington Commanders,Arizona Cardinals,3,0:11,Arizona Cardinals,James Conner 6 yard rush (Matt Prater kick),27,14
2024-09-29,Washington Commanders,Arizona Cardinals,4,8:30,Washington Commanders,Terry McLaurin 10 yard pass from Jayden Daniels (Zach Ertz pass from Jayden Daniels),35,14
2024-09-29,Washington Commanders,Arizona Cardinals,4,4:30,Washington Commanders,Jeremy McNichols 7 yard rush (Austin Seibert kick),42,14
