Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-11-10,Pittsburgh Steelers,Washington Commanders,1,8:33,Pittsburgh Steelers,George Pickens 16 yard pass from Russell Wilson (Chris Boswell kick),7,0
2024-11-10,Pittsburgh Steelers,Washington Commanders,1,3:44,Washington Commanders,Austin Ekeler 1 yard rush (Zane Gonzalez kick),7,7
2024-11-10,Pittsburgh Steelers,Washington Commanders,2,10:28,Pittsburgh Steelers,Pat Freiermuth 3 yard pass from Russell Wilson (Chris Boswell kick),14,7
2024-11-10,Pittsburgh Steelers,Washington Commanders,2,8:11,Washington Commanders,Zane Gonzalez 48 yard field goal,14,10
2024-11-10,Pittsburgh Steelers,Washington Commanders,2,0:16,Washington Commanders,Austin Ekeler 1 yard rush (Zane Gonzalez kick),14,17
2024-11-10,Pittsburgh Steelers,Washington Commanders,3,12:55,Washington Commanders,Jeremy McNichols 1 yard rush (Zane Gonzalez kick),14,24
2024-11-10,Pittsburgh Steelers,Washington Commanders,3,8:06,Pittsburgh Steelers,Najee Harris 1 yard rush (Chris Boswell kick),21,24
2024-11-10,Pittsburgh Steelers,Washington Commanders,3,2:51,Washington Commanders,Zane Gonzalez 41 yard field goal,21,27
2024-11-10,Pittsburgh Steelers,Washington Commanders,4,2:22,Pittsburgh Steelers,Mike Williams 32 yard pass from Russell Wilson (Chris Boswell kick),28,27
