Date,Away Team,Home Team,Player,Player Team,Kick Return TD,Punt Return TD
2024-10-20,Seattle Seahawks,Atlanta Falcons,Dee Williams,Seattle Seahawks,0,0
2024-10-20,Seattle Seahawks,Atlanta Falcons,Laviska Shenault Jr.,Seattle Seahawks,0,0
2024-10-20,Seattle Seahawks,Atlanta Falcons,Ray-Ray McCloud,Atlanta Falcons,0,0
2024-10-20,Seattle Seahawks,Atlanta Falcons,Avery Williams,Atlanta Falcons,0,0
