Date,Away Team,Home Team,Defense Team,Ints,Sacks,Fumbles,Def TDs,Points Allowed
2024-09-22,Kansas City Chiefs,Atlanta Falcons,Kansas City Chiefs,1,2.0,0,0,17
2024-09-22,Kansas City Chiefs,Atlanta Falcons,Atlanta Falcons,1,0.0,1,0,22
