Date,Away Team,Home Team,Defense Team,Ints,Sacks,Fumbles,Def TDs,Points Allowed
2024-09-22,Detroit Lions,Arizona Cardinals,Detroit Lions,1,1.0,0,0,13
2024-09-22,Detroit Lions,Arizona Cardinals,Arizona Cardinals,1,2.0,0,0,20
