Date,Away Team,Home Team,Player,Player Team,Extra Points Made,Extra Points Missed,Field Goals Made,Field Goals Missed
2024-10-20,New York Jets,Pittsburgh Steelers,Greg Zuerlein,New York Jets,1,0,0,1
2024-10-20,New York Jets,Pittsburgh Steelers,Thomas Morstead,New York Jets,0,0,0,0
2024-10-20,New York Jets,Pittsburgh Steelers,Chris Boswell,Pittsburgh Steelers,4,0,3,0
2024-10-20,New York Jets,Pittsburgh Steelers,Corliss Waitman,Pittsburgh Steelers,0,0,0,0
