Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-11-10,San Francisco 49ers,Tampa Bay Buccaneers,1,4:15,San Francisco 49ers,Ricky Pearsall 46 yard pass from Brock Purdy (Jake Moody kick),7,0
2024-11-10,San Francisco 49ers,Tampa Bay Buccaneers,2,8:53,San Francisco 49ers,Jake Moody 28 yard field goal,10,0
2024-11-10,San Francisco 49ers,Tampa Bay Buccaneers,2,1:14,Tampa Bay Buccaneers,Chase McLaughlin 30 yard field goal,10,3
2024-11-10,San Francisco 49ers,Tampa Bay Buccaneers,3,11:58,Tampa Bay Buccaneers,Rachaad White 9 yard pass from Baker Mayfield (Chase McLaughlin kick),10,10
2024-11-10,San Francisco 49ers,Tampa Bay Buccaneers,3,4:21,San Francisco 49ers,Jake Moody 33 yard field goal,13,10
2024-11-10,San Francisco 49ers,Tampa Bay Buccaneers,4,14:18,Tampa Bay Buccaneers,Bucky Irving 12 yard rush (Chase McLaughlin kick),13,17
2024-11-10,San Francisco 49ers,Tampa Bay Buccaneers,4,7:02,San Francisco 49ers,George Kittle 11 yard pass from Brock Purdy (Jake Moody kick),20,17
2024-11-10,San Francisco 49ers,Tampa Bay Buccaneers,4,0:41,Tampa Bay Buccaneers,Chase McLaughlin 26 yard field goal,20,20
2024-11-10,San Francisco 49ers,Tampa Bay Buccaneers,4,0:00,San Francisco 49ers,Jake Moody 44 yard field goal,23,20
