Date,Away Team,Home Team,Defense Team,Ints,Sacks,Fumbles,Def TDs,Points Allowed
2024-09-29,Los Angeles Rams,Chicago Bears,Los Angeles Rams,0,3.0,0,0,24
2024-09-29,Los Angeles Rams,Chicago Bears,Chicago Bears,1,3.0,2,0,18
