Date,Away Team,Home Team,Defense Team,Ints,Sacks,Fumbles,Def TDs,Points Allowed
2024-11-17,Minnesota Vikings,Tennessee Titans,Minnesota Vikings,1,5.0,1,0,13
2024-11-17,Minnesota Vikings,Tennessee Titans,Tennessee Titans,0,2.0,1,0,23
