Date,Away Team,Home Team,Defense Team,Ints,Sacks,Fumbles,Def TDs,Points Allowed
2024-10-27,Atlanta Falcons,Tampa Bay Buccaneers,Atlanta Falcons,2,0.0,1,0,26
2024-10-27,Atlanta Falcons,Tampa Bay Buccaneers,Tampa Bay Buccaneers,0,2.0,1,0,31
