Date,Away Team,Home Team,Player,Player Team,Extra Points Made,Extra Points Missed,Field Goals Made,Field Goals Missed
2024-10-20,Philadelphia Eagles,New York Giants,Jake Elliott,Philadelphia Eagles,4,0,0,0
2024-10-20,Philadelphia Eagles,New York Giants,Braden Mann,Philadelphia Eagles,0,0,0,0
2024-10-20,Philadelphia Eagles,New York Giants,Matt Haack,New York Giants,0,0,0,0
2024-10-20,Philadelphia Eagles,New York Giants,Greg Joseph,New York Giants,0,0,1,0
