Date,Away Team,Home Team,Player,Player Team,Extra Points Made,Extra Points Missed,Field Goals Made,Field Goals Missed
2024-10-20,Cincinnati Bengals,Cleveland Browns,Evan McPherson,Cincinnati Bengals,3,0,0,1
2024-10-20,Cincinnati Bengals,Cleveland Browns,Ryan Rehkow,Cincinnati Bengals,0,0,0,0
2024-10-20,Cincinnati Bengals,Cleveland Browns,Dustin Hopkins,Cleveland Browns,0,1,0,1
2024-10-20,Cincinnati Bengals,Cleveland Browns,Corey Bojorquez,Cleveland Browns,0,0,0,0
