Date,Away Team,Home Team,Player,Player Team,Kick Return TD,Punt Return TD
2024-10-20,Las Vegas Raiders,Los Angeles Rams,DJ Turner,Las Vegas Raiders,0,0
2024-10-20,Las Vegas Raiders,Los Angeles Rams,Xavier Smith,Los Angeles Rams,0,0
