Date,Away Team,Home Team,Defense Team,Ints,Sacks,Fumbles,Def TDs,Points Allowed
2024-10-13,Jacksonville Jaguars,Chicago Bears,Jacksonville Jaguars,1,3.0,1,0,35
2024-10-13,Jacksonville Jaguars,Chicago Bears,Chicago Bears,1,4.0,2,0,16
