Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-09-22,Denver Broncos,Tampa Bay Buccaneers,1,11:05,Denver Broncos,Bo Nix 3 yard rush (Wil Lutz kick),7,0
2024-09-22,Denver Broncos,Tampa Bay Buccaneers,1,2:56,Denver Broncos,Jaleel McLaughlin 1 yard rush (Wil Lutz kick),14,0
2024-09-22,Denver Broncos,Tampa Bay Buccaneers,2,9:25,Denver Broncos,Wil Lutz 43 yard field goal,17,0
2024-09-22,Denver Broncos,Tampa Bay Buccaneers,2,1:50,Tampa Bay Buccaneers,Chris Godwin 5 yard pass from Baker Mayfield (Chase McLaughlin kick),17,7
2024-09-22,Denver Broncos,Tampa Bay Buccaneers,2,0:02,Denver Broncos,Wil Lutz 38 yard field goal,20,7
2024-09-22,Denver Broncos,Tampa Bay Buccaneers,4,14:52,Denver Broncos,Wil Lutz 33 yard field goal,23,7
2024-09-22,Denver Broncos,Tampa Bay Buccaneers,4,7:30,Denver Broncos,Wil Lutz 43 yard field goal,26,7
