Date,Away Team,Home Team,Player,Player Team,Kick Return TD,Punt Return TD
2024-11-03,Indianapolis Colts,Minnesota Vikings,Josh Downs,Indianapolis Colts,0,0
2024-11-03,Indianapolis Colts,Minnesota Vikings,Brandon Powell,Minnesota Vikings,0,0
