Date,Away Team,Home Team,Defense Team,Ints,Sacks,Fumbles,Def TDs,Points Allowed
2024-09-08,Pittsburgh Steelers,Atlanta Falcons,Pittsburgh Steelers,2,2.0,2,0,10
2024-09-08,Pittsburgh Steelers,Atlanta Falcons,Atlanta Falcons,0,2.0,0,0,18
