Date,Away Team,Home Team,Defense Team,Ints,Sacks,Fumbles,Def TDs,Points Allowed
2024-09-08,Washington Commanders,Tampa Bay Buccaneers,Washington Commanders,0,1.0,1,0,37
2024-09-08,Washington Commanders,Tampa Bay Buccaneers,Tampa Bay Buccaneers,0,2.0,0,0,20
