Date,Away Team,Home Team,Defense Team,Ints,Sacks,Fumbles,Def TDs,Points Allowed
2024-09-30,Seattle Seahawks,Detroit Lions,Seattle Seahawks,0,3.0,0,0,42
2024-09-30,Seattle Seahawks,Detroit Lions,Detroit Lions,1,3.0,1,0,29
