Date,Away Team,Home Team,Player,Player Team,Kick Return TD,Punt Return TD
2024-10-20,Tennessee Titans,Buffalo Bills,Jha'Quan Jackson,Tennessee Titans,0,0
2024-10-20,Tennessee Titans,Buffalo Bills,Brandon Codrington,Buffalo Bills,0,0
