Date,Away Team,Home Team,Defense Team,Ints,Sacks,Fumbles,Def TDs,Points Allowed
2024-11-03,Chicago Bears,Arizona Cardinals,Chicago Bears,0,3.0,2,0,29
2024-11-03,Chicago Bears,Arizona Cardinals,Arizona Cardinals,0,6.0,0,0,9
