Date,Away Team,Home Team,Defense Team,Ints,Sacks,Fumbles,Def TDs,Points Allowed
2024-09-29,Washington Commanders,Arizona Cardinals,Washington Commanders,0,4.0,1,0,14
2024-09-29,Washington Commanders,Arizona Cardinals,Arizona Cardinals,1,0.0,2,0,42
