Date,Away Team,Home Team,Defense Team,Ints,Sacks,Fumbles,Def TDs,Points Allowed
2024-10-06,Dallas Cowboys,Pittsburgh Steelers,Dallas Cowboys,0,3.0,2,0,17
2024-10-06,Dallas Cowboys,Pittsburgh Steelers,Pittsburgh Steelers,2,2.0,2,0,20
