Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-11-10,New England Patriots,Chicago Bears,1,6:19,New England Patriots,Joey Slye 30 yard field goal,3,0
2024-11-10,New England Patriots,Chicago Bears,2,7:17,Chicago Bears,Cairo Santos 33 yard field goal,3,3
2024-11-10,New England Patriots,Chicago Bears,2,1:46,New England Patriots,Ja'Lynn Polk 2 yard pass from Drake Maye (Joey Slye kick),10,3
2024-11-10,New England Patriots,Chicago Bears,2,0:00,New England Patriots,Joey Slye 37 yard field goal,13,3
2024-11-10,New England Patriots,Chicago Bears,4,7:30,New England Patriots,Joey Slye 25 yard field goal,16,3
2024-11-10,New England Patriots,Chicago Bears,4,2:17,New England Patriots,Joey Slye 33 yard field goal,19,3
