Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-11-10,Philadelphia Eagles,Dallas Cowboys,1,7:05,Philadelphia Eagles,Jalen Hurts 1 yard rush (Jake Elliott kick),7,0
2024-11-10,Philadelphia Eagles,Dallas Cowboys,1,3:10,Dallas Cowboys,Brandon Aubrey 46 yard field goal,7,3
2024-11-10,Philadelphia Eagles,Dallas Cowboys,2,1:48,Dallas Cowboys,Brandon Aubrey 23 yard field goal,7,6
2024-11-10,Philadelphia Eagles,Dallas Cowboys,2,0:23,Philadelphia Eagles,Dallas Goedert 14 yard pass from Jalen Hurts (Jake Elliott kick),14,6
2024-11-10,Philadelphia Eagles,Dallas Cowboys,3,8:52,Philadelphia Eagles,Johnny Wilson 5 yard pass from Jalen Hurts (Jake Elliott kick),21,6
2024-11-10,Philadelphia Eagles,Dallas Cowboys,3,2:56,Philadelphia Eagles,Jalen Hurts 8 yard rush (Jake Elliott kick),28,6
2024-11-10,Philadelphia Eagles,Dallas Cowboys,4,14:50,Philadelphia Eagles,Jake Elliott 39 yard field goal,31,6
2024-11-10,Philadelphia Eagles,Dallas Cowboys,4,10:32,Philadelphia Eagles,Jake Elliott 38 yard field goal,34,6
