Date,Away Team,Home Team,Defense Team,Ints,Sacks,Fumbles,Def TDs,Points Allowed
2024-10-21,Baltimore Ravens,Tampa Bay Buccaneers,Baltimore Ravens,2,3.0,1,0,31
2024-10-21,Baltimore Ravens,Tampa Bay Buccaneers,Tampa Bay Buccaneers,0,2.0,2,0,41
