Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-10-13,Jacksonville Jaguars,Chicago Bears,1,4:37,Jacksonville Jaguars,Cam Little 30 yard field goal,3,0
2024-10-13,Jacksonville Jaguars,Chicago Bears,2,11:06,Chicago Bears,Cole Kmet 31 yard pass from Caleb Williams (Cairo Santos kick),3,7
2024-10-13,Jacksonville Jaguars,Chicago Bears,2,0:13,Chicago Bears,Cole Kmet 2 yard pass from Caleb Williams (Cairo Santos kick),3,14
2024-10-13,Jacksonville Jaguars,Chicago Bears,3,11:22,Chicago Bears,Keenan Allen 9 yard pass from Caleb Williams (Cairo Santos kick),3,21
2024-10-13,Jacksonville Jaguars,Chicago Bears,3,6:02,Jacksonville Jaguars,Gabriel Davis 21 yard pass from Trevor Lawrence (Cam Little kick),10,21
2024-10-13,Jacksonville Jaguars,Chicago Bears,4,14:56,Chicago Bears,Keenan Allen 3 yard pass from Caleb Williams (Cairo Santos kick),10,28
2024-10-13,Jacksonville Jaguars,Chicago Bears,4,12:29,Chicago Bears,D'Andre Swift 1 yard rush (Cairo Santos kick),10,35
2024-10-13,Jacksonville Jaguars,Chicago Bears,4,6:58,Jacksonville Jaguars,Gabriel Davis 5 yard pass from Trevor Lawrence (pass failed),16,35
