Date,Away Team,Home Team,Defense Team,Ints,Sacks,Fumbles,Def TDs,Points Allowed
2024-09-29,Buffalo Bills,Baltimore Ravens,Buffalo Bills,0,1.0,2,0,35
2024-09-29,Buffalo Bills,Baltimore Ravens,Baltimore Ravens,0,3.0,2,1,10
