Date,Away Team,Home Team,Defense Team,Ints,Sacks,Fumbles,Def TDs,Points Allowed
2024-09-15,New Orleans Saints,Dallas Cowboys,New Orleans Saints,2,3.0,0,0,19
2024-09-15,New Orleans Saints,Dallas Cowboys,Dallas Cowboys,1,1.0,1,0,44
